question,expected_answer
"What does Section 302 of the IPC say about the punishment for murder?","Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
"What is the punishment for cheating under Section 420 IPC?","Whoever cheats and thereby dishonestly induces the person deceived to deliver any property to any person, or to make, alter or destroy a valuable security, shall be punished with imprisonment up to seven years, and shall also be liable to fine."
"What is theft under the Indian Penal Code?","Whoever, intending to take dishonestly any movable property out of the possession of any person without that person's consent, moves that property in order to such taking, is said to commit theft."
"Define dowry death under Indian law","Where the death of a woman is caused by burns or bodily injury or occurs otherwise than under normal circumstances within seven years of marriage, and it is shown that soon before her death she was subjected to cruelty or harassment by her husband or his relative for or in connection with any demand for dowry, such death shall be called dowry death."
"What does Article 21 of the Constitution guarantee?","No person shall be deprived of his life or personal liberty except according to procedure established by law."
"What is the right to equality under Article 14?","The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India."
"Can the police arrest a person without a warrant?","Any police officer may without an order from a Magistrate and without a warrant arrest any person who commits a cognizable offence in the presence of a police officer, or against whom credible information or reasonable suspicion exists that he has committed a cognizable offence."
"How is anticipatory bail granted?","When any person has reason to believe that he may be arrested on an accusation of having committed a non-bailable offence, he may apply to the High Court or the Court of Session for a direction that in the event of such arrest he shall be released on bail."
"What is the procedure for registration of an FIR?","Every information relating to the commission of a cognizable offence given orally to an officer in charge of a police station shall be reduced to writing, read over to the informant, signed by the person giving it, and the substance shall be entered in a book kept for that purpose. A copy of the information shall be given forthwith free of cost to the informant."
"Is a confession to police admissible as evidence in India?","No confession made to a police officer shall be proved as against a person accused of any offence."
"What is the requirement under Section 65B for electronic evidence?","Any information contained in an electronic record which is printed on paper or stored in optical or magnetic media produced by a computer shall be deemed to be a document if the computer output was produced during regular use, the information was regularly fed in, the computer was operating properly, and a certificate identifying the electronic record and describing the manner of production is supplied."
"What is the penalty for drunk driving under the Motor Vehicles Act?","Whoever, while driving a motor vehicle, has alcohol exceeding 30 mg per 100 ml of blood detected in a test by a breath analyser, or is under the influence of a drug to such an extent as to be incapable of exercising proper control, shall be punishable for the first offence with imprisonment up to six months or with fine of ten thousand rupees, or both."
"What is the punishment for hacking under the IT Act?","If any person, dishonestly or fraudulently, does any act referred to in section 43, he shall be punishable with imprisonment for a term which may extend to three years or with fine which may extend to five lakh rupees or with both."
"What is identity theft under Indian cyber law?","Whoever fraudulently or dishonestly makes use of the electronic signature, password or any other unique identification feature of any other person shall be punished with imprisonment which may extend to three years and shall also be liable to fine which may extend to rupees one lakh."
"What constitutes deficiency in service under the Consumer Protection Act?","Deficiency means any fault, imperfection, shortcoming or inadequacy in the quality, nature and manner of performance which is required to be maintained by or under any law, or has been undertaken to be performed by a person in pursuance of a contract or otherwise in relation to any service."
"What is the writ of habeas corpus?","The right to move the Supreme Court by appropriate proceedings for the enforcement of fundamental rights is guaranteed. The Supreme Court shall have power to issue writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari for the enforcement of any rights conferred by Part III."
"What is the necessity for registration under the Motor Vehicles Act?","No person shall drive any motor vehicle and no owner of a motor vehicle shall cause or permit the vehicle to be driven in any public place unless the vehicle is registered in accordance with this Chapter and the certificate of registration has not been suspended or cancelled and the vehicle carries a registration mark displayed in the prescribed manner."
"What is the minimum age to drive in India?","No person under the age of eighteen years shall drive a motor vehicle in any public place. A person who has attained the age of sixteen years may drive a motor cycle with engine capacity not exceeding fifty cubic centimetres. No person under the age of twenty years shall drive a transport vehicle."
"Is third party insurance compulsory for vehicles in India?","No person shall use, except as a passenger, or cause or allow any other person to use, a motor vehicle in a public place, unless there is in force in relation to the use of the vehicle a policy of insurance complying with the requirements of this Chapter."
"What is the punishment under Section 138 of the NI Act?","Where any cheque drawn by a person on an account maintained by him with a banker is returned by the bank unpaid because the amount in the account is insufficient or exceeds the arrangement made with the bank, such person shall be punished with imprisonment up to two years or with fine which may extend to twice the amount of the cheque or both."
"What makes an agreement a contract under Indian law?","All agreements are contracts if they are made by the free consent of parties competent to contract, for a lawful consideration and with a lawful object, and are not expressly declared to be void."
"What is consideration under the Indian Contract Act?","An agreement made without consideration is void, unless it is expressed in writing and registered and is made on account of natural love and affection between parties standing in a near relation, or is a promise to compensate a person who has voluntarily done something for the promisor, or is a promise to pay a debt barred by limitation."
"What is the doctrine of frustration of contract?","An agreement to do an act impossible in itself is void. A contract to do an act which after the contract is made becomes impossible, or by reason of some event which the promisor could not prevent unlawful, becomes void when the act becomes impossible or unlawful."
"Can damages be claimed for breach of contract?","When a contract has been broken, the party who suffers by such breach is entitled to receive from the party who has broken the contract compensation for any loss or damage caused to him thereby which naturally arose in the usual course of things from such breach, or which the parties knew when they made the contract to be likely to result from the breach."
"What is res judicata under the CPC?","No Court shall try any suit or issue in which the matter directly and substantially in issue has been directly and substantially in issue in a former suit between the same parties, or between parties under whom they or any of them claim, litigating under the same title, in a Court competent to try such subsequent suit, and has been heard and finally decided by such Court."
"When can an arbitral award be set aside?","An arbitral award may be set aside by the Court only if the party making the application establishes that it was under some incapacity, the arbitration agreement is not valid, proper notice was not given, the award deals with a dispute not contemplated by the submission, the composition of the tribunal was not in accordance with the agreement, or the award is in conflict with the public policy of India."
"What is the time limit for an RTI application response?","The Central Public Information Officer or State Public Information Officer shall, as expeditiously as possible, and in any case within thirty days of the receipt of the request, either provide the information on payment of such fee as may be prescribed or reject the request for any of the reasons specified in sections 8 and 9."
"What are the duties of directors under the Companies Act?","A director of a company shall act in accordance with the articles of the company, in good faith to promote the objects of the company for the benefit of its members, in the best interests of the company and its stakeholders, with due and reasonable care, skill and diligence, exercise independent judgment, avoid conflicts of interest, and not achieve undue gain."
"What is part performance under the Transfer of Property Act?","Where any person contracts to transfer for consideration any immoveable property by writing signed by him from which the terms necessary to constitute the transfer can be ascertained with reasonable certainty, and the transferee has, in part performance of the contract, taken possession of the property and has performed or is willing to perform his part of the contract, then the transferor shall be debarred from enforcing against the transferee any right in respect of the property of which the transferee has taken possession."
"What is the term of copyright in India?","Copyright shall subsist in any literary, dramatic, musical or artistic work published within the lifetime of the author until sixty years from the beginning of the calendar year next following the year in which the author dies."
"What constitutes domestic violence under PWDVA?","Any act, omission, commission or conduct of the respondent shall constitute domestic violence in case it harms or injures or endangers the health, safety, life, limb or well-being, whether mental or physical, of the aggrieved person, and includes causing physical abuse, sexual abuse, verbal and emotional abuse and economic abuse."
"When is a trademark infringed?","A registered trade mark is infringed by a person who, not being a registered proprietor or a permitted user, uses in the course of trade a mark which is identical with or deceptively similar to the trade mark in relation to goods or services in respect of which the trade mark is registered, in such manner as to render the use of the mark likely to be taken as being used as a trade mark."
"What is a compulsory licence under the Patents Act?","At any time after the expiration of three years from the date of grant of a patent, any person interested may make an application to the Controller for grant of compulsory licence on patent on grounds that the reasonable requirements of the public have not been satisfied, or that the patented invention is not available at a reasonably affordable price, or that the patented invention is not worked in the territory of India."
